g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10,cut
11002,11002,0,0,104,0,0,0
11002,11000,16,76,106,16,28,20
11002,11001,20,103,111,41,31,20
11002,10509,15,87,103,45,47,15
11002,2,82,106,106,96,82,9999999
11002,10100,7,75,105,7,7,11
11002,21006,80,106,110,108,80,9999999
11002,20806,88,106,108,94,88,9999999
11002,20501,85,103,109,85,89,9999999
11002,20908,89,123,109,107,89,9999999
11002,10304,13,90,112,24,20,13
11002,10707,17,89,105,19,19,17
11002,20608,94,114,114,100,94,9999999
11002,10300,7,85,103,7,7,13
11002,20506,92,104,110,94,92,9999999
11002,10209,12,92,106,20,18,12
11002,10104,11,92,104,44,44,11
11002,20707,80,110,114,88,80,9999999
11002,10108,11,92,98,92,86,11
11002,20700,84,110,108,96,84,9999999
11002,20600,82,114,104,86,82,9999999
11002,21000,87,115,111,103,87,9999999
11002,20709,92,114,114,92,92,9999999
11002,20505,87,113,113,93,87,9999999
11002,20108,84,110,108,96,84,9999999
11002,10601,16,92,110,90,90,16
11002,10404,14,99,111,15,15,14
11002,20303,92,104,110,92,92,9999999
11002,20502,88,110,108,102,88,9999999
11002,20702,94,102,106,104,94,9999999
11002,20107,82,108,104,96,82,9999999
11002,20602,83,109,113,99,83,9999999
11002,20807,92,104,106,104,92,9999999
11002,20203,84,104,112,96,84,9999999
11002,20900,94,114,108,106,94,9999999
11002,1,6,84,106,6,6,10
11002,20607,94,114,106,94,100,9999999
11002,20500,87,107,113,109,87,9999999
11002,10607,16,90,112,40,40,16
11002,10809,18,99,105,63,61,18
11002,10508,15,97,99,17,15,15
11002,20100,81,107,105,99,81,9999999
11002,21005,77,109,111,83,77,9999999
11002,10803,18,92,108,92,90,18
11002,10101,11,90,106,16,14,11
11002,20903,83,107,111,83,93,9999999
11002,20804,82,100,106,104,82,9999999
11002,20302,92,104,110,100,92,9999999
11002,10200,12,87,103,27,27,12
11002,10706,17,103,107,31,31,17
11002,20809,87,107,113,103,87,9999999
11002,20706,84,116,110,86,84,9999999
11002,10701,17,101,103,57,61,17
11002,10306,9,79,101,9,9,13
11002,10102,7,71,109,7,7,11
11002,10205,12,88,102,50,50,12
11002,20508,82,104,108,94,82,9999999
11002,21001,82,112,108,84,82,9999999
11002,10808,18,114,100,98,92,18
11002,20909,80,110,108,90,80,9999999
11002,20603,87,111,109,91,87,9999999
11002,20301,85,109,105,97,85,9999999
11002,20907,72,110,106,74,72,9999999
11002,10602,13,93,103,13,13,16
11002,20300,94,114,108,94,94,9999999
11002,10608,11,97,109,11,11,16
11002,10609,9,73,97,9,9,16
11002,10401,14,105,97,29,29,14
11002,10500,15,92,110,50,46,15
11002,10208,10,104,110,22,10,12
11002,11007,20,101,109,43,41,20
11002,10303,7,83,105,7,7,13
11002,20805,82,108,114,96,82,9999999
11002,10606,16,78,112,98,92,16
11002,10501,15,80,100,86,86,15
11002,10903,19,86,100,32,32,19
11002,10405,14,87,93,17,15,14
11002,20906,87,109,111,101,87,9999999
11002,11003,16,86,102,20,16,20
11002,20403,85,103,103,107,85,9999999
11002,20509,81,111,111,101,81,9999999
11002,21007,81,113,103,97,81,9999999
11002,10805,15,81,107,37,15,18
11002,20503,89,103,105,95,89,9999999
11002,11005,18,94,112,22,18,20
11002,10907,19,88,102,34,32,19
11002,20308,92,106,108,98,92,9999999
11002,10800,18,85,111,47,51,18
11002,20409,80,112,108,100,80,9999999
11002,10502,14,90,94,16,14,15
11002,20407,85,109,113,91,85,9999999
11002,20106,86,112,106,98,86,9999999
11002,10406,14,90,108,46,46,14
11002,10705,17,92,100,28,28,17
11002,11008,20,90,112,38,38,20
11002,20609,95,111,111,99,95,9999999
11002,20207,79,107,109,97,79,9999999
11002,10503,8,82,100,8,8,15
11002,20401,81,113,105,111,81,9999999
11002,20901,86,108,116,96,86,9999999
11002,10308,7,83,105,7,7,13
11002,20103,84,108,106,98,84,9999999
11002,10506,15,93,115,23,23,15
11002,10806,10,98,108,10,10,18
11002,10403,14,85,105,47,47,14
11002,20402,88,112,108,108,88,9999999
11002,10703,17,85,109,61,57,17
11002,10908,19,93,107,47,45,19
11002,10204,12,97,95,71,71,12
11002,20504,85,103,109,97,85,9999999
11002,20803,93,103,111,97,93,9999999
11002,10704,10,88,104,10,10,17
11002,20801,82,108,108,108,82,9999999
11002,21008,96,110,106,110,96,9999999
11002,10307,10,84,104,10,10,13
11002,20605,98,108,104,110,98,9999999
11002,21003,90,116,114,100,90,9999999
11002,20102,82,102,104,98,82,9999999
11002,10109,11,82,102,12,12,11
11002,10301,13,84,98,16,16,13
11002,10804,13,85,103,13,13,18
11002,10402,14,103,119,25,23,14
11002,10106,11,88,106,18,14,11
11002,20802,97,115,113,103,97,9999999
11002,20209,85,109,107,99,85,9999999
11002,20708,86,112,114,96,86,9999999
11002,20408,80,106,110,86,80,9999999
11002,10505,15,99,103,29,29,15
11002,20800,96,118,110,102,96,9999999
11002,20904,93,107,105,101,93,9999999
11002,10507,9,101,107,9,9,15
11002,10105,7,89,111,7,7,11
11002,20902,81,107,111,103,81,9999999
11002,10302,12,96,108,14,12,13
11002,10107,11,87,101,17,13,11
11002,20105,84,112,102,96,84,9999999
11002,10504,11,91,111,11,11,15
11002,20306,85,103,105,99,85,9999999
11002,10900,19,87,107,63,63,19
11002,10709,17,100,112,92,90,17
11002,20205,84,106,104,102,84,9999999
11002,10901,19,99,109,65,63,19
11002,10902,19,96,100,26,20,19
11002,10702,17,91,105,65,51,17
11002,10904,19,96,110,24,24,19
11002,10807,18,92,110,32,30,18
11002,20101,94,112,110,100,94,9999999
11002,10408,7,85,105,7,7,14
11002,20104,83,103,109,97,83,9999999
11002,10605,16,98,108,38,28,16
11002,20202,82,112,106,96,82,9999999
11002,10201,12,91,103,17,15,12
11002,20507,90,110,112,98,90,9999999
11002,10206,12,98,102,26,24,12
11002,20305,87,107,107,99,87,9999999
11002,20201,85,107,97,99,85,9999999
11002,20405,83,111,101,99,83,9999999
11002,20406,81,107,107,97,81,9999999
11002,10801,8,88,100,10,8,18
11002,10708,17,86,106,24,24,17
11002,10909,19,95,107,59,47,19
11002,10400,14,104,108,26,26,14
11002,20604,80,108,98,96,80,9999999
11002,20701,91,109,109,109,91,9999999
11002,10203,12,95,105,39,35,12
11002,20200,83,107,105,99,83,9999999
11002,20400,84,110,108,100,84,9999999
11002,20703,90,114,112,104,90,9999999
11002,11006,20,95,111,33,33,20
11002,10207,6,88,110,6,6,12
11002,10103,11,98,106,46,46,11
11002,20905,90,106,114,100,90,9999999
11002,20204,89,109,109,99,89,9999999
11002,10802,15,103,101,17,15,18
11002,10600,16,99,107,65,59,16
11002,10305,13,99,107,33,33,13
11002,10407,7,81,105,7,7,14
11002,20606,81,109,115,97,81,9999999
11002,20704,80,106,110,100,80,9999999
11002,10700,10,94,112,10,10,17
11002,20808,88,116,120,104,88,9999999
11002,20304,81,105,103,103,81,9999999
