ranking
OrderedDict([('prec@1', 0.2236842105263158),
             ('prec@2', 0.24342105263157895),
             ('prec@3', 0.2587719298245614),
             ('prec@4', 0.25),
             ('prec@5', 0.27894736842105256),
             ('prec@6', 0.27631578947368424),
             ('prec@7', 0.36654135338345867),
             ('prec@8', 0.375),
             ('prec@9', 0.371345029239766),
             ('prec@10', 0.36973684210526314),
             ('prec@11', 0.3935406698564594),
             ('prec@12', 0.4089912280701754),
             ('prec@13', 0.4078947368421052),
             ('prec@14', 0.4088345864661654),
             ('prec@15', 0.4114035087719296),
             ('prec@16', 0.421875),
             ('prec@17', 0.43575851393188825),
             ('prec@18', 0.44444444444444453),
             ('prec@19', 0.45706371191135736),
             ('prec@20', 0.46381578947368424),
             ('mse', 0.29126541958170366),
             ('rho', 0.3888881709989729),
             ('tau', 0.2738641171993464),
             ('dev', 0.4478885423135565),
             ('mrr', 0.34871645524560035),
             ('time', 0.0)])
