11002,11002,0,0,136,0,0
11002,11000,82,140,146,88,82
11002,11001,83,127,153,83,103
11002,10509,88,116,132,88,96
11002,2,90,154,160,90,96
11002,10100,82,116,136,82,92
11002,21006,94,178,184,100,94
11002,20806,102,156,168,110,102
11002,20501,96,150,170,96,98
11002,20908,94,152,172,94,94
11002,10304,89,113,137,89,99
11002,10707,93,111,145,93,105
11002,20608,96,158,164,96,96
11002,10300,91,119,137,97,91
11002,20506,91,157,173,91,99
11002,10209,91,127,137,91,95
11002,10104,88,108,134,88,92
11002,20707,86,152,162,90,86
11002,10108,84,112,140,84,94
11002,20700,97,155,161,97,97
11002,20600,94,152,172,96,94
11002,21000,89,155,157,111,89
11002,20709,100,154,162,100,100
11002,20505,81,159,173,89,81
11002,20108,90,152,156,112,90
11002,10601,83,113,131,91,83
11002,10404,98,122,142,98,98
11002,20303,87,149,169,93,87
11002,20502,107,157,163,107,107
11002,20702,89,161,163,89,95
11002,20107,95,159,165,95,97
11002,20602,83,165,161,99,83
11002,20807,85,163,171,85,87
11002,20203,92,148,164,92,92
11002,20900,94,170,164,100,94
11002,1,76,116,136,76,94
11002,20607,76,164,172,100,76
11002,20500,84,154,160,84,98
11002,10607,86,142,152,86,92
11002,10809,97,121,119,97,99
11002,10508,92,118,144,108,92
11002,20100,93,149,167,93,99
11002,21005,107,163,165,107,107
11002,10803,86,128,150,86,96
11002,10101,90,120,138,92,90
11002,20903,117,151,173,117,117
11002,20804,91,157,163,91,107
11002,20302,93,151,161,99,93
11002,10200,74,122,130,82,74
11002,10706,93,109,143,101,93
11002,20809,101,157,169,101,103
11002,20706,89,161,163,107,89
11002,10701,104,130,142,104,104
11002,10306,81,125,131,81,97
11002,10102,87,111,131,87,87
11002,10205,63,115,139,63,65
11002,20508,101,157,167,101,103
11002,21001,96,154,166,96,96
11002,10808,84,132,140,84,84
11002,20909,95,171,181,95,101
11002,20603,100,152,158,100,100
11002,20301,92,150,164,92,98
11002,20907,108,150,164,108,108
11002,10602,88,110,130,98,88
11002,20300,91,153,155,91,105
11002,10608,84,132,146,84,84
11002,10609,91,127,143,95,91
11002,10401,91,105,137,95,91
11002,10500,62,90,134,62,86
11002,10208,87,91,143,101,87
11002,11007,87,131,141,93,87
11002,10303,88,128,144,88,88
11002,20805,90,150,172,90,112
11002,10606,86,100,124,86,94
11002,10501,83,131,133,83,91
11002,10903,87,137,145,87,93
11002,10405,91,109,143,91,109
11002,20906,99,157,163,99,107
11002,11003,98,130,158,98,98
11002,20403,94,154,162,100,94
11002,20509,89,155,163,89,95
11002,21007,97,169,177,109,97
11002,10805,63,123,141,71,63
11002,20503,112,148,162,114,112
11002,11005,86,112,140,102,86
11002,10907,90,138,150,90,90
11002,20308,97,149,167,97,103
11002,10800,22,116,122,22,42
11002,20409,84,158,168,92,84
11002,10502,89,121,147,93,89
11002,20407,94,162,154,96,94
11002,20106,85,157,167,91,85
11002,10406,83,131,139,83,87
11002,10705,68,112,134,70,68
11002,11008,85,125,151,85,89
11002,20609,90,160,168,90,90
11002,20207,90,148,160,92,90
11002,10503,90,126,142,100,90
11002,20401,84,158,168,88,84
11002,20901,95,171,175,105,95
11002,10308,78,114,134,82,78
11002,20103,96,152,158,98,96
11002,10506,97,127,143,101,97
11002,10806,92,110,146,94,92
11002,10403,89,127,137,91,89
11002,20402,92,152,162,92,100
11002,10703,68,94,142,68,94
11002,10908,80,142,150,80,82
11002,10204,86,124,138,86,88
11002,20504,90,156,162,102,90
11002,20803,97,157,171,97,97
11002,10704,98,116,124,100,98
11002,20801,91,171,157,91,99
11002,21008,94,152,174,102,94
11002,10307,87,119,133,87,93
11002,20605,99,159,169,99,101
11002,21003,92,170,172,92,92
11002,20102,90,152,156,112,90
11002,10109,85,105,137,89,85
11002,10301,87,111,131,87,87
11002,10804,81,149,145,81,101
11002,10402,94,112,148,94,96
11002,10106,96,122,140,96,98
11002,20802,94,154,166,96,94
11002,20209,93,153,159,99,93
11002,20708,86,164,166,100,86
11002,20408,99,155,157,101,99
11002,10505,82,102,134,82,88
11002,20800,100,148,166,100,102
11002,20904,89,159,159,97,89
11002,10507,95,107,135,99,95
11002,10105,86,116,142,86,92
11002,20902,102,162,164,108,102
11002,10302,90,98,134,100,90
11002,10107,81,133,133,83,81
11002,20105,91,155,163,91,97
11002,10504,87,123,137,87,103
11002,20306,92,160,170,92,92
11002,10900,85,103,141,105,85
11002,10709,59,129,131,67,59
11002,20205,92,162,154,96,92
11002,10901,81,113,131,87,81
11002,10902,82,126,132,82,84
11002,10702,85,119,145,85,91
11002,10904,73,133,135,73,85
11002,10807,86,146,152,104,86
11002,20101,93,155,167,93,93
11002,10408,87,129,127,101,87
11002,20104,96,150,160,110,96
11002,10605,86,96,150,96,86
11002,20202,98,152,164,102,98
11002,10201,84,110,136,84,88
11002,20507,89,159,173,89,97
11002,10206,81,125,139,89,81
11002,20305,79,151,167,93,79
11002,20201,95,153,161,97,95
11002,20405,98,158,168,98,98
11002,20406,90,166,162,90,96
11002,10801,83,129,135,83,85
11002,10708,95,127,149,95,95
