g1.gid,g2.gid,ged,hungarian,vj,beam5,beam10,cut
11002,11002,0,0,368,0,0,0
11002,11000,20,363,359,323,323,20
11002,11001,20,362,362,342,346,20
11002,10509,15,264,358,206,210,15
11002,2,317,375,389,317,323,9999999
11002,10100,11,267,359,137,137,11
11002,21006,328,390,384,328,328,9999999
11002,20806,336,378,382,336,338,9999999
11002,20501,317,377,375,329,317,9999999
11002,20908,330,378,370,330,330,9999999
11002,10304,13,246,362,158,158,13
11002,10707,17,233,377,319,319,17
11002,20608,320,376,376,320,324,9999999
11002,10300,13,262,368,204,202,13
11002,20506,338,368,380,342,338,9999999
11002,10209,12,321,357,341,341,12
11002,10104,11,222,346,170,172,11
11002,20707,333,383,383,335,333,9999999
11002,10108,11,308,364,148,132,11
11002,20700,329,383,381,329,333,9999999
11002,20600,317,377,389,325,317,9999999
11002,21000,326,374,390,332,326,9999999
11002,20709,331,365,383,341,331,9999999
11002,20505,329,385,387,337,329,9999999
11002,20108,322,374,388,322,324,9999999
11002,10601,16,351,339,183,183,16
11002,10404,14,319,369,347,347,14
11002,20303,335,379,391,335,335,9999999
11002,20502,323,373,385,333,323,9999999
11002,20702,328,382,388,330,328,9999999
11002,20107,318,376,388,318,328,9999999
11002,20602,328,384,382,334,328,9999999
11002,20807,320,382,378,328,320,9999999
11002,20203,317,379,387,327,317,9999999
11002,20900,339,373,391,339,339,9999999
11002,1,10,271,365,137,133,10
11002,20607,324,372,388,328,324,9999999
11002,20500,339,371,385,341,339,9999999
11002,10607,16,315,355,307,315,16
11002,10809,18,266,360,74,74,18
11002,10508,15,327,355,339,335,15
11002,20100,318,370,388,318,324,9999999
11002,21005,354,380,390,354,360,9999999
11002,10803,18,328,336,292,282,18
11002,10101,11,300,340,138,134,11
11002,20903,323,381,381,323,323,9999999
11002,20804,335,377,385,343,335,9999999
11002,20302,318,368,380,318,322,9999999
11002,10200,12,323,355,137,135,12
11002,10706,17,310,376,248,248,17
11002,20809,328,380,388,340,328,9999999
11002,20706,315,385,389,327,315,9999999
11002,10701,17,334,354,334,334,17
11002,10306,13,295,363,173,155,13
11002,10102,11,278,346,158,158,11
11002,10205,12,325,355,155,153,12
11002,20508,335,381,393,335,335,9999999
11002,21001,322,380,390,336,322,9999999
11002,10808,18,307,375,119,121,18
11002,20909,346,378,386,346,352,9999999
11002,20603,323,393,379,323,327,9999999
11002,20301,314,380,394,328,314,9999999
11002,20907,314,380,372,340,314,9999999
11002,10602,16,303,369,125,123,16
11002,20300,317,383,391,317,317,9999999
11002,11009,20,257,351,339,339,20
11002,10608,16,301,369,113,107,16
11002,10609,16,334,366,328,340,16
11002,10401,14,289,361,323,323,14
11002,10500,15,317,365,333,335,15
11002,10208,12,219,359,177,177,12
11002,11007,20,337,361,255,249,20
11002,10303,13,296,366,170,172,13
11002,20805,346,374,394,346,354,9999999
11002,10606,16,282,362,172,188,16
11002,10501,15,290,364,348,344,15
11002,10903,19,380,338,336,256,19
11002,10405,14,306,362,338,338,14
11002,20906,330,382,380,330,332,9999999
11002,11003,20,333,361,313,313,20
11002,20403,348,370,384,350,348,9999999
11002,20509,330,380,380,334,330,9999999
11002,21007,313,391,381,319,313,9999999
11002,10805,18,340,362,120,116,18
11002,20503,324,374,394,324,324,9999999
11002,11005,20,352,364,340,340,20
11002,10907,19,334,366,296,296,19
11002,20308,313,377,385,321,313,9999999
11002,10800,18,350,366,322,322,18
11002,20409,329,387,381,329,331,9999999
11002,10502,15,280,374,104,104,15
11002,20407,334,376,386,338,334,9999999
11002,20106,329,383,391,333,329,9999999
11002,10406,14,269,363,125,117,14
11002,10705,17,351,365,291,291,17
11002,11008,20,357,367,345,353,20
11002,20609,333,377,387,333,333,9999999
11002,20207,319,385,369,319,325,9999999
